LogisticRegression,XGBoost,BaggingLinearRegression_n_estimators=10,BaggingDescisionTrees_n_estimators=20,XGBoostLinear,Keras100/50Layers6Epochs
7,4,3.65449051648,5,5.97937583923,4.24541568756
8,6,6.87768543087,7,5.59765291214,8.0
8,8,7.31601881927,7,7.7919960022,8.0
7,5,5.12141037056,6,4.67753887177,6.37308549881
3,2,2.81574539768,2,3.23793506622,3.14806842804
8,8,8.0,8,7.79233217239,8.0
4,5,4.86513591629,5,5.08749818802,4.52786016464
8,8,6.93219177082,7,7.86291599274,8.0
6,6,5.65607377207,7,5.6468167305,6.18484687805
8,8,6.80659141414,7,7.09643507004,7.98403692245
1,6,4.36478893495,5,5.54047584534,5.78033256531
8,8,5.88656334282,6,6.96841859818,6.94645166397
8,7,7.54174450235,8,6.81334972382,8.0
8,6,6.06512940665,5,5.71331167221,6.33412075043
8,4,6.03052786769,5,5.11683750153,6.36371088028
5,5,5.1905137676,5,5.72600126266,5.39261484146
8,7,6.23888709781,7,5.97729921341,6.7330904007
8,8,6.90156305886,8,8.0,8.0
6,5,3.02451140351,2,4.07026147842,4.2302570343
2,5,5.12336802171,5,4.63406515121,5.02275943756
6,3,4.30377258651,5,3.81216859818,3.64592027664
6,6,5.69497516731,6,5.33183002472,6.00275325775
6,4,4.27242326594,5,5.96155452728,5.85143756866
7,4,5.1860440099,5,5.09595298767,5.98414707184
6,6,4.66942748822,6,4.71283769608,5.99525880814
8,6,5.9210178577,6,5.12312936783,6.83584213257
6,7,5.99538512934,6,6.87359428406,6.2156085968
8,7,6.75743759422,8,6.55434751511,8.0
8,8,6.28134265065,8,6.56621551514,7.96867895126
8,8,7.75960341014,7,6.81708478928,8.0
8,4,4.44858615253,5,4.4323387146,6.26089954376
8,7,6.47797865797,7,6.72867393494,8.0
1,2,3.79013550164,5,2.31923866272,2.13592910767
8,6,5.82487542998,7,6.49905395508,6.37632226944
8,8,7.80308296219,8,8.0,8.0
8,6,4.74199281404,6,5.31211805344,5.65596914291
6,3,4.16736848577,5,3.66945528984,5.7234082222
8,7,6.09767462448,3,6.44813156128,7.05557584763
2,3,4.12198832845,5,4.39794158936,4.87567234039
8,8,6.24722532524,8,7.42573785782,7.88560628891
7,4,5.28216237826,3,4.17589569092,6.02455997467
4,3,4.31731167667,2,4.33253288269,3.63184309006
4,3,5.12294584057,2,3.96357679367,5.7674870491
8,6,5.98474791406,5,5.20776224136,6.12711381912
6,2,3.10224115846,2,2.71734571457,3.2084043026
8,8,7.06241584523,8,7.07105350494,8.0
8,8,6.75056558619,7,6.85272407532,7.97274017334
5,5,5.71492307216,3,4.6465883255,5.68023586273
1,2,2.24917324911,2,1.0,1.98596763611
7,6,5.31381332321,6,6.24234867096,6.92717266083
8,5,5.18518637706,5,4.90835762024,7.17571306229
4,3,4.12551124627,2,3.38935279846,3.75187706947
8,8,7.64163102032,8,7.52060461044,8.0
1,3,2.88282689734,5,3.90420436859,3.61649513245
7,8,5.49995296578,5,6.52225446701,6.75496721268
6,5,4.47909954325,5,4.44907951355,5.39080715179
6,6,4.78970200563,6,5.65120077133,6.18017816544
2,3,4.7588729133,5,3.86067557335,3.61646699905
6,4,5.75776469065,6,5.45249032974,6.22373199463
8,8,7.43735741133,8,7.5304441452,8.0
6,5,5.00155834901,6,5.31197071075,5.86764431
8,7,6.59984724061,6,6.8904132843,7.91900539398
2,2,3.10389872668,4,2.7637822628,3.30656027794
8,7,6.36800889059,6,6.24853229523,7.5552816391
8,8,8.0,8,7.71759176254,8.0
8,7,6.71691404743,7,6.76426124573,8.0
5,4,3.21826426075,2,4.13408660889,2.1505355835
8,6,5.59622243039,5,5.48491668701,6.7917842865
8,7,6.33988380369,8,7.10591411591,8.0
8,8,6.10045609548,6,5.73242902756,8.0
6,5,4.8637756606,5,4.52820062637,4.86395359039
6,5,4.98379971937,6,4.79024744034,6.11069107056
8,8,6.31798240642,7,6.90616607666,8.0
8,8,7.30084895262,7,7.17795944214,8.0
8,8,6.63439915443,7,6.4961605072,7.7007393837
8,8,7.60463748844,8,7.48521137238,8.0
7,6,4.94902298534,5,5.5999546051,5.74749851227
6,6,5.3828808403,6,6.17712020874,5.73764801025
8,8,6.52665802195,8,7.52534770966,8.0
6,7,6.43365182676,6,7.07258987427,5.17441368103
8,6,6.12758607107,6,5.71857881546,6.9199719429
8,7,6.68918498038,7,7.06649637222,7.80779981613
8,8,7.61443253102,8,6.42220115662,8.0
7,5,5.77205440516,5,5.46819448471,6.71877908707
6,3,4.20207763987,2,4.41234016418,5.56614208221
8,8,6.37127415712,8,7.13060283661,6.32912158966
8,8,6.84263780466,8,7.2689242363,8.0
8,8,7.50255922391,8,6.72913360596,8.0
8,8,7.42813946645,8,7.96769762039,8.0
8,8,7.11039294236,8,7.03978872299,8.0
5,5,5.00639210603,3,4.46716499329,5.75572872162
6,5,5.72201151046,5,5.52777147293,6.20890331268
8,8,6.75382652004,6,7.08675575256,8.0
1,3,4.13603837556,3,4.18663215637,5.83150577545
6,5,5.64959513841,6,5.16048574448,5.99136829376
8,8,7.07932985387,8,7.67825222015,8.0
5,3,5.25367275405,2,3.60257053375,5.49267864227
6,8,6.41145851742,7,7.24718379974,6.20546388626
6,6,5.54075201259,6,5.67777252197,6.43331718445
4,2,3.59502827393,2,3.41813278198,4.44779920578
8,8,6.540413418,8,6.98610591888,8.0
8,8,6.29740703689,8,7.25806999207,6.46685552597
8,4,6.02939065226,6,4.61527681351,7.29770708084
8,8,7.60213819533,8,7.38024568558,8.0
8,6,6.10475743805,7,6.24137449265,7.23320770264
8,8,6.31523051778,6,7.49866771698,8.0
8,7,6.73625915543,7,6.71437168121,7.23183727264
7,3,4.40366904549,3,4.35955810547,5.95491838455
5,2,3.34791107496,2,1.49819207191,2.03507804871
6,5,6.05494449305,5,5.14244890213,6.08759307861
8,7,5.81631492604,8,6.80034017563,6.2006020546
6,6,5.4514896295,7,6.05356216431,6.17964029312
8,8,8.0,8,7.99469470978,8.0
7,5,4.27901174364,5,5.34857702255,5.43132543564
8,8,8.0,8,7.75871944427,8.0
6,5,5.62725622284,5,5.62003087997,6.32045555115
2,3,4.61135308938,5,5.57415723801,5.73600387573
1,3,3.89011159177,5,3.67874503136,4.67784881592
5,2,3.98530820285,3,3.90192627907,5.23368501663
8,6,6.38992768163,7,6.78933429718,8.0
1,2,2.48868055442,2,1.28872966766,2.13722133636
8,8,6.88514452138,8,6.96938800812,8.0
8,7,6.08254187807,6,6.32225084305,6.87971878052
8,3,6.68293194879,3,4.52095365524,5.63461780548
8,8,6.4809176089,7,6.51727485657,8.0
8,5,5.76496780638,5,5.12392950058,7.80683279037
7,6,5.87305932536,3,5.36279439926,7.16674184799
8,7,6.48166402957,7,6.48584699631,8.0
1,5,4.42417862928,7,4.29317140579,6.08261394501
8,8,7.6642937683,8,8.0,8.0
8,8,6.60702410137,7,7.78931045532,8.0
8,8,7.74836496242,7,7.76138067245,8.0
8,8,8.0,8,7.94801092148,8.0
8,8,6.77613586005,8,7.03663301468,8.0
8,4,4.88982018668,5,5.59693574905,4.5247797966
8,7,7.0849691224,8,6.82898664474,8.0
6,7,6.49587878147,6,5.87004470825,6.22300720215
7,8,6.10899547117,6,7.11071872711,7.42384576797
8,8,7.72563648338,8,8.0,8.0
7,6,5.78407393068,6,5.75910615921,7.00099658966
8,8,7.31845843303,8,7.07532978058,8.0
8,6,6.49415528083,7,6.90645360947,8.0
8,8,7.26458721877,6,8.0,8.0
6,5,4.35429504601,5,4.39604091644,5.45034503937
5,2,5.55611094038,2,2.55216741562,5.49367809296
8,8,6.61980974196,8,6.92977333069,8.0
4,2,4.67460720508,3,3.57211852074,4.13189077377
6,6,5.84433674682,6,7.01005315781,6.15411615372
7,6,6.13466966704,5,6.24684429169,6.98217582703
6,6,5.14694577854,6,5.39233112335,6.3836183548
8,8,6.27267135783,8,7.05152273178,8.0
2,2,1.88938793719,5,1.85217678547,1.96010017395
8,8,6.73863386605,8,6.75714731216,7.41514062881
8,5,4.80206472451,7,5.01270389557,5.91914749146
6,5,3.94684735137,6,5.45435190201,4.38628959656
8,8,7.80664822931,8,7.72328472137,8.0
8,8,7.03843535897,8,8.0,8.0
1,5,4.56144715136,5,5.09050178528,5.66371774673
8,7,6.16602975161,8,6.80690670013,7.56959629059
8,7,6.27212727109,6,5.81827116013,6.32609272003
8,8,7.18467699776,8,8.0,8.0
7,7,6.85298151249,7,6.33642244339,7.19230747223
7,7,6.09308634906,7,6.01801729202,7.06490373611
8,8,7.00905742932,8,7.48662519455,8.0
8,7,6.42194040342,8,6.67323207855,7.31577730179
8,3,5.52430216371,2,3.29170584679,7.39880800247
8,7,6.0543398241,7,6.05377388,6.43632936478
6,3,4.41941286697,3,3.72293257713,5.93905258179
8,8,6.92611223231,7,7.38691854477,7.79770517349
7,6,5.75337460709,5,5.97248411179,6.58505487442
6,4,3.81379977994,5,4.712474823,4.3808889389
6,6,5.22058438161,6,5.51657295227,6.08239984512
8,8,6.24585237751,7,6.62483453751,7.31989860535
7,6,6.01554796346,6,6.10983514786,7.18909263611
8,5,5.04865392455,6,4.64174079895,6.92562103271
8,8,6.95097319761,8,7.86210775375,8.0
8,8,7.02516209544,8,7.38707113266,7.28237438202
8,7,6.7169609984,7,6.42433404922,7.81677055359
8,8,7.09167814888,8,8.0,8.0
8,7,6.49476544406,6,6.81324720383,6.01328468323
8,8,7.88964205482,7,7.7297334671,8.0
6,4,4.97296000249,6,5.38784313202,5.76000595093
4,3,4.92115878067,3,3.60096359253,4.82848787308
8,7,6.56661616379,7,6.56996822357,6.85140371323
8,5,6.96186207291,5,5.17648983002,8.0
6,5,4.73133125729,5,5.0543422699,6.08771562576
8,2,4.48903844716,2,1.0,6.36411952972
8,7,6.67863849345,6,6.64279174805,7.3686413765
8,7,6.43194490641,7,6.91797590256,8.0
6,5,4.49506071999,6,4.60683298111,4.86918735504
8,7,6.15029807888,7,6.10500144958,7.77408599854
8,7,5.41775242224,7,6.78945970535,6.17055416107
8,8,7.26572129533,4,7.02507257462,8.0
6,5,5.40833215974,7,5.33521461487,5.97567844391
8,6,5.23742614406,3,5.25101709366,6.29128551483
8,7,4.7794248933,7,5.65095424652,5.10873413086
5,2,3.34241433014,1,1.98551130295,4.24791002274
8,6,6.90191549571,5,7.22016906738,8.0
1,1,1.0,1,1.0,1.96420192719
8,7,6.2819212439,6,6.94060230255,7.87508106232
2,2,3.34193809692,2,2.54741597176,3.74995565414
1,4,4.97824020413,7,4.7516913414,6.88364839554
2,2,4.09912503772,3,3.50414776802,5.89233446121
7,6,5.76700614209,6,5.78448820114,7.05913257599
8,7,6.56366338954,8,6.79129505157,8.0
2,6,4.88501152145,5,6.06790828705,6.39163827896
6,6,5.80206072574,6,5.64366388321,6.51292943954
8,7,5.86412305032,6,6.09708213806,6.63455057144
7,7,6.44952775715,6,6.85203504562,6.97292947769
8,8,7.2078375077,8,7.39804792404,8.0
8,7,6.51201808155,8,7.20336914062,8.0
8,8,7.62363266233,8,7.47969388962,8.0
8,8,5.75895083861,6,7.69651031494,6.15669202805
8,7,5.68500526129,8,6.52112388611,7.92561483383
8,8,6.67498595842,7,7.29764127731,8.0
6,2,3.28570024633,2,3.6380341053,3.88265895844
8,8,6.92152504823,7,7.2677526474,8.0
6,5,5.6063428042,6,4.38164520264,6.97080469131
4,6,5.1632975123,6,5.08013963699,5.55246925354
8,8,6.54458606128,8,6.8792963028,7.46640872955
8,6,5.24590008007,6,4.70257329941,7.20513343811
6,2,3.82459614602,2,3.36985445023,4.17681503296
7,6,5.56504957097,5,6.23474216461,6.2267036438
6,4,4.00621617385,6,4.63208055496,3.71186709404
8,7,6.53649868177,8,7.4000787735,6.82722711563
8,6,7.16275853835,6,5.37535476685,8.0
7,6,5.70280950776,6,4.96212100983,6.70011711121
8,8,7.63357704296,8,7.70786190033,8.0
6,6,5.05428175348,3,4.70613527298,6.22315883636
6,4,4.95745158129,5,4.88571929932,6.13654470444
7,7,6.71201101597,6,7.01119089127,7.17735147476
8,8,6.92247313743,8,7.22047805786,8.0
8,7,6.12599801946,7,6.72940444946,6.95961856842
4,2,3.99567662107,2,3.12259364128,3.69158172607
2,5,5.20839059577,5,5.03357744217,5.80912494659
7,7,6.29520111578,6,6.2288646698,7.14398622513
6,6,5.99468183009,6,5.51579809189,6.18483161926
8,8,7.52295568106,8,7.63140916824,8.0
6,5,4.90454622464,5,5.28704929352,6.29806137085
7,6,6.1247079293,3,5.16661071777,7.14853954315
1,2,3.50121762733,2,1.80022716522,2.24233627319
5,3,4.74014159472,5,4.92634725571,4.07558679581
5,5,5.92447843825,6,4.82026529312,5.99213647842
2,3,4.15591516328,5,3.90802383423,3.90940141678
8,8,6.9026984262,8,7.67463445663,8.0
8,8,6.4491381585,7,7.15365695953,8.0
7,7,6.73216493472,6,5.80819368362,7.1986656189
8,7,5.66718065359,6,6.25926733017,7.34983062744
8,8,7.09708941808,8,7.49519681931,8.0
8,8,7.11008286148,8,7.86569452286,8.0
6,4,3.71431159221,6,4.83713293076,4.5412607193
8,8,7.93111605415,8,7.95202302933,8.0
1,2,2.92334339158,3,3.17083835602,3.67661142349
8,8,6.50151843759,7,6.8335185051,8.0
8,8,7.13066433097,8,7.20437955856,8.0
6,7,5.14038879115,6,6.37561655045,6.18109512329
6,7,6.52322683257,7,7.213514328,6.52376413345
6,7,6.45375842386,6,5.82550048828,7.48238897324
8,3,4.99506073982,6,4.92020177841,7.09501075745
8,8,7.45517793279,7,6.97466802597,8.0
6,2,3.41400299794,2,2.53693008423,3.59188461304
8,7,6.63623406839,7,6.87078523636,7.53308439255
8,8,7.26366937269,8,8.0,8.0
8,7,6.04028405234,6,5.96799182892,7.55392503738
2,2,4.00032246034,2,2.18883514404,2.04669761658
6,2,3.19316111248,2,3.54630494118,4.98665904999
8,7,6.02412741277,6,6.25706100464,7.09916782379
8,6,6.41622569546,6,5.52038240433,7.47791147232
3,2,4.09165334393,2,3.24606561661,3.26539421082
2,3,3.75420419221,4,5.01306152344,2.79447793961
5,3,4.40926674167,5,4.12916183472,5.13148498535
8,8,6.82323854473,8,6.72886228561,8.0
8,8,6.89498619359,8,7.81992769241,8.0
6,2,4.20686206081,5,4.60573577881,5.55954265594
1,3,2.94309242595,5,5.13165187836,2.56320667267
6,5,5.07579678218,5,4.52448654175,6.14893865585
8,8,6.6332745152,8,7.44300842285,8.0
8,8,7.2484014958,8,7.77178621292,8.0
7,6,6.19653349564,6,6.46991062164,7.18356227875
8,7,5.86801915517,6,6.72037601471,7.26813650131
1,1,1.71074708282,2,1.0,2.25244188309
6,6,4.43587940483,6,5.97410058975,6.04307556152
8,8,6.94122130781,7,6.72053909302,8.0
8,8,7.56828154103,8,7.83055877686,8.0
5,6,5.3548422915,5,5.80498886108,5.81535100937
8,8,7.04996984294,8,7.80384922028,8.0
8,8,6.26244511002,8,6.98003578186,7.65014600754
6,5,5.16398714198,6,6.12134742737,6.30441093445
4,2,4.80537108033,3,3.5360660553,6.09444856644
8,8,6.53364903475,8,6.34975290298,8.0
8,7,6.66079599085,6,6.10969638824,7.17990112305
8,7,6.31746706029,7,6.66805744171,6.90674686432
7,5,5.38649131804,5,5.59109401703,5.99567222595
8,8,6.96309178139,7,6.86371231079,8.0
8,8,6.30269479623,8,6.85150051117,8.0
6,3,4.00283965653,3,3.80196499825,3.55050206184
6,5,5.03995360627,3,4.68904447556,5.87950563431
7,3,4.47013119625,4,4.61035108566,5.6596326828
5,7,6.1504034381,6,7.08805751801,6.31641769409
8,8,7.8031077974,8,7.61853885651,8.0
7,7,5.55784385703,6,7.13061666489,7.40091705322
7,7,6.3630456167,6,5.74237203598,7.16801595688
4,2,4.35654069672,2,3.5263376236,4.17304801941
1,1,1.83498898277,2,1.0,1.95263290405
8,8,6.65329671166,8,7.49437761307,8.0
6,5,4.83752637066,5,5.0309138298,6.09611368179
8,8,6.24721802988,8,7.28926897049,6.03997993469
6,5,5.36026238512,6,4.20279073715,5.98695230484
8,7,6.82629182279,7,6.49228143692,8.0
8,7,6.47654609103,6,6.56943941116,6.68592071533
8,6,6.68370162029,6,6.11744642258,8.0
6,5,5.06249469037,5,5.60911178589,5.67603540421
8,8,6.84035800636,8,7.25596761703,8.0
2,2,1.0,2,2.36981248856,1.98714065552
1,3,4.50222327003,5,3.61852788925,5.45140314102
8,8,7.34732406643,6,7.30666065216,8.0
2,8,5.10724993708,6,6.37017869949,6.38549995422
6,3,4.67887109867,5,4.26609420776,5.99493598938
8,8,8.0,8,7.46064090729,8.0
8,8,6.52604861452,7,7.26417732239,7.35725450516
8,7,6.47399683844,7,7.00856590271,8.0
1,1,1.31966107319,2,1.14852952957,1.96178340912
6,2,3.45312359056,3,2.6149263382,3.28509092331
8,6,5.23164566102,5,3.95515680313,7.24933862686
8,6,6.16069916158,6,6.18066453934,7.83412408829
8,8,7.35634676922,8,7.85655069351,8.0
6,7,5.77722563855,7,6.48465156555,6.21651124954
6,3,5.30753304645,5,3.97305727005,4.23172235489
6,3,4.21404406239,5,4.39060974121,4.83956718445
8,8,6.95459553306,8,7.45888757706,8.0
2,3,3.30151297468,6,3.95419359207,2.47673273087
7,3,3.90107082358,3,4.04330921173,4.17158794403
8,5,5.90643660533,5,5.14171552658,5.93902349472
8,6,6.35070116921,6,5.4833855629,6.33579921722
8,8,6.55700486629,7,7.16457176208,8.0
8,8,6.12545907376,6,6.98960924149,8.0
4,2,3.69323104182,2,2.63983249664,3.75042057037
7,6,5.46949547488,6,6.45045232773,6.49632692337
6,6,5.84883690218,3,5.3668961525,5.90609073639
6,3,4.31816551831,2,4.21399784088,5.39518260956
8,7,6.1818432696,6,6.18175125122,6.92997932434
3,2,3.1253345464,2,2.2365424633,3.42583751678
8,4,5.98078736808,4,4.22400903702,6.38308811188
7,4,5.71068264509,4,4.2914276123,7.12613868713
8,7,6.12340068619,7,6.20669412613,6.96599388123
8,8,7.04143448882,8,7.16644191742,8.0
8,8,7.23940449258,8,7.02292060852,6.74251651764
8,8,7.73684511577,7,7.53998088837,8.0
8,8,7.80762004551,8,6.83955526352,8.0
7,8,6.69829731711,6,6.31663703918,7.1790766716
5,3,5.29155421656,2,3.36128854752,5.13578939438
4,3,5.23009933137,2,3.58921074867,6.09153795242
5,3,4.3676881776,5,4.62017393112,4.94641828537
8,6,5.47775785307,5,5.62125015259,5.46444702148
5,5,4.38747108526,5,4.85761976242,5.94387817383
4,3,5.24989826502,3,4.14957809448,5.08803987503
8,8,8.0,8,7.57059431076,8.0
8,7,6.10697819171,8,6.87449455261,7.69606971741
5,4,5.19764276557,6,5.12908792496,5.81465339661
8,7,6.06867765386,6,6.37012767792,7.29672288895
6,6,4.79837757798,6,5.18653726578,5.41438388824
8,8,8.0,8,8.0,8.0
7,6,6.91384048613,6,6.03027057648,7.0617389679
8,8,7.85240911545,8,8.0,8.0
7,6,5.29975962623,7,6.06710004807,7.08911943436
7,6,5.32359340607,6,5.54077339172,6.24844741821
8,6,5.65387656339,7,6.10772037506,6.89940452576
8,7,4.92585364347,6,6.62823677063,7.49971580505
1,3,4.48696936237,6,4.72174024582,2.09201431274
7,5,5.16514463338,6,4.8161444664,6.9840593338
7,4,5.08195061855,5,5.33391809464,6.17266368866
7,2,4.71016763553,4,2.69886302948,6.28246068954
8,8,6.5904388048,8,7.12848758698,7.98971176147
8,7,7.15264064115,6,6.47910404205,8.0
2,5,4.89335520629,6,5.02099227905,6.1567363739
8,6,6.07453084499,6,6.36286687851,7.06083631516
5,2,2.95140570803,3,3.5995824337,4.34992408752
8,6,7.27695754447,7,6.98705625534,8.0
2,3,2.78401811626,5,4.48977184296,2.57915210724
6,7,6.17714186509,6,6.19314432144,5.68556928635
7,4,4.19236371945,5,4.52622890472,5.75952243805
7,7,5.55702221381,7,5.60948610306,6.85357379913
3,2,3.46481786142,2,3.19414925575,3.64080262184
8,8,6.89791825781,8,7.84106874466,7.93769931793
8,6,5.74870535946,6,6.16000270844,6.77132892609
8,8,7.35699699161,8,7.49291706085,8.0
8,6,7.03339289232,6,6.66166067123,8.0
6,6,5.92602185787,6,5.93533420563,6.94251155853
6,7,5.55762655093,6,6.7278175354,6.14768695831
1,3,3.84828183082,5,4.38128089905,5.36326503754
8,7,6.37393404465,6,6.47450637817,8.0
8,7,6.83019927148,5,6.62378931046,6.64981603622
8,8,6.44222147077,8,8.0,8.0
8,4,5.89682907235,3,3.79684829712,7.11029672623
5,2,3.90458658705,4,2.19272089005,5.13432073593
4,2,4.36195888117,2,2.17627620697,3.936668396
7,7,6.38896929983,7,6.88786220551,7.09189081192
7,6,5.55951199049,6,5.74933433533,6.51484966278
8,7,6.2295675957,6,6.79580259323,7.77009296417
2,2,2.67932841038,2,3.15588593483,2.606508255
8,8,7.84028085649,8,7.65637254715,8.0
8,8,7.70617437246,6,6.53298044205,8.0
8,7,6.32937224251,7,6.86773538589,7.54290342331
8,6,6.09111594837,6,5.83627605438,7.63261508942
8,8,7.71173530619,8,7.3885602951,8.0
6,6,5.50246007613,7,5.92316579819,5.40645313263
8,8,7.09357346092,8,7.86168289185,8.0
8,8,7.0983002861,8,7.08549356461,8.0
6,6,5.6640200987,7,6.57768154144,6.10041379929
7,5,5.55080830722,3,5.07972049713,6.95953845978
6,3,4.37696615778,5,2.55683159828,5.2657661438
5,1,1.91201653685,1,1.85022056103,2.07330799103
2,2,2.49074056235,2,1.04534780979,3.55514597893
8,8,6.98194230568,8,7.63680362701,8.0
8,8,6.46922117141,8,7.36909151077,8.0
5,6,5.9249029551,7,7.21275186539,5.31981229782
8,8,6.44709432441,7,6.56007051468,7.8618927002
6,6,5.43133308476,8,6.1533613205,6.1259932518
8,7,6.14879860651,8,6.87443590164,7.63248252869
7,6,5.67663929029,5,5.42950773239,6.92946052551
8,7,5.97086180404,7,4.42549705505,8.0
8,7,6.83871152815,8,6.84142065048,7.8935508728
7,3,4.11317646441,5,4.06384849548,5.52216053009
1,3,5.20399160631,5,5.19330215454,6.15221738815
8,7,6.31549874111,8,6.08581399918,7.85486602783
6,2,2.58189818005,2,2.74708938599,2.64295196533
8,5,5.19000580317,2,4.51756715775,6.79384469986
3,2,3.539561578,2,2.62923073769,3.68623280525
8,7,6.52549364452,7,7.296002388,6.44049119949
8,8,6.58407709968,7,6.9639544487,8.0
5,5,5.59390454281,6,5.22122764587,5.48861932755
8,8,6.494807619,8,7.6545085907,8.0
6,2,4.2171963888,2,1.93661296368,3.52387714386
2,5,4.86480682228,6,5.60442495346,5.7008190155
8,7,6.41544026611,7,6.47455024719,7.99876070023
7,5,5.94134067501,5,4.83125114441,6.74105596542
6,5,5.2535674594,5,5.495885849,5.82398033142
8,8,7.5011583987,8,7.9321641922,8.0
6,6,5.27613544541,7,5.18775558472,5.86752319336
6,2,3.79192652253,5,3.77875041962,5.22246456146
1,4,4.54845905968,2,4.04860591888,6.48324155807
1,2,1.86480507559,2,4.05292701721,2.25724983215
8,6,5.81605496902,6,5.5707192421,6.52588033676
7,6,5.89210141345,5,5.36322450638,7.07950258255
1,4,4.96735406774,5,3.63850784302,6.47507286072
8,8,7.38532609021,8,7.50875711441,8.0
5,6,6.10766178511,8,6.97459125519,6.08990478516
8,7,6.45570813044,6,5.17329454422,8.0
8,5,5.58764047806,6,5.51572418213,7.52422523499
7,6,4.8566905289,5,5.39958715439,6.16948509216
1,2,4.16561106084,2,3.79896378517,5.3927116394
8,8,6.62240080398,8,7.71938610077,8.0
8,8,6.47045397373,8,7.50146818161,8.0
3,2,2.62961426432,2,3.2780418396,2.51803922653
1,3,4.73763785304,4,3.65206694603,6.58510398865
8,7,5.86420520432,7,6.48222208023,6.27532339096
6,5,4.79933982213,4,5.38220357895,5.82863521576
6,7,6.09717686033,6,6.36630725861,6.23805761337
6,6,5.73044276,5,5.89013195038,6.21977615356
8,8,7.77029783911,8,7.73078727722,8.0
8,8,7.08442744063,8,7.34708213806,8.0
8,8,7.06628282422,8,7.42029380798,8.0
2,4,3.36449206267,5,4.08342170715,2.92090988159
6,6,5.99572484977,6,5.25890827179,6.26139545441
7,7,7.42056861164,5,6.82497024536,7.26982498169
7,6,5.49190115163,6,5.76528406143,6.58728456497
8,8,7.13343733597,8,7.94831943512,8.0
6,6,6.38016157328,7,6.58170747757,6.20940446854
8,7,7.10727636849,6,7.0269613266,8.0
5,3,4.93787511245,3,3.51386713982,5.05121326447
6,2,4.07990313725,2,1.45800328255,5.07997512817
1,2,2.46046487918,5,2.8088684082,1.99403619766
8,8,7.08314229475,8,6.97267484665,8.0
7,5,5.4965201424,5,6.0733127594,6.32029914856
8,8,6.54098207375,6,6.57566261292,7.06219911575
8,8,6.19285352051,7,6.96435546875,8.0
8,8,6.50169938134,5,7.4600353241,8.0
4,3,6.80516479314,3,3.81896114349,7.79961252213
8,8,7.09552780055,8,7.48421859741,8.0
8,8,7.61913998446,7,7.31730556488,8.0
8,7,6.30855044379,8,6.78977537155,7.86912202835
8,8,6.61646572282,6,6.30170059204,7.10218715668
1,2,3.9026495931,2,1.23172616959,3.69052195549
7,3,5.07249024947,6,5.90276145935,6.90351915359
6,4,4.6631693508,4,3.74922418594,5.62543487549
8,8,7.3179197818,7,7.18763399124,8.0
8,7,6.24538224079,7,6.92034339905,8.0
8,7,6.47124952979,7,6.49910926819,8.0
2,1,1.0,1,1.0,1.95655965805
1,3,3.21846835766,5,3.63266587257,2.07920885086
6,4,4.11995386723,5,4.57645559311,4.93409490585
1,2,2.48413143389,2,2.50100708008,2.05506420135
8,8,6.97208992646,8,7.3484416008,8.0
